frame,matches,corr_3d2d,inliers,success,pnp_success,pnp_inliers,t_norm,rot_angle,reproj_rmse
150,200,172,147,True,True,147,0.04972316481773954,1.1769727326291881,0.7400290307015093
151,200,142,135,True,True,135,0.039087575981004624,0.4799875040875894,0.8034212299618154
152,200,146,126,True,True,126,0.0408213749177829,0.5766617843228224,0.7951035600552554
153,200,166,151,True,True,151,0.03809265214986996,0.9527343663466428,0.8428698198702362
154,200,160,148,True,True,148,0.039923562986182895,1.151882576686507,0.8173339316371658
155,200,147,141,True,True,141,0.039443448961198536,1.1426811008142728,0.7502548259977854
156,200,124,108,True,True,108,0.04067312375972628,1.0987993459058418,0.8162789490195794
157,200,106,100,True,True,100,0.04582317835502278,0.7364127229074916,0.7617108148683014
158,200,113,107,True,True,107,0.040421792120237963,0.6881159338063239,0.6953736938185583
159,200,134,128,True,True,128,0.04105001693511565,0.638160599558938,0.8045474726646655
160,200,102,91,True,True,91,0.053669558777483056,0.7671359909473268,0.772676307038425
161,200,138,127,True,True,127,0.03878391644731748,1.344149339248521,0.8870634919862821
162,200,144,125,True,True,125,0.04783812421255217,1.5239119374241437,0.7501188028073573
163,200,147,138,True,True,138,0.05052917698479388,1.937064435930243,0.7412741710324157
164,200,136,129,True,True,129,0.0509505545003992,1.7937185407124816,0.6910566001122223
165,200,140,129,True,True,129,0.044156113917745377,1.9096022618633193,0.7867122502898479
166,200,144,136,True,True,136,0.036190376893284845,1.8398005370681871,0.8079800617344749
167,200,145,135,True,True,135,0.029636751460916978,1.7378813266508888,0.7114204445326291
168,200,155,149,True,True,149,0.026360171081571415,1.0331615947038928,0.6403397105998012
169,200,147,121,True,True,121,0.022101353888579756,0.38362780146442094,0.7879046723630455
170,200,133,118,True,True,118,0.03159063936375577,1.461695653529993,0.7358031139836524
171,200,155,145,True,True,145,0.039949849442602305,2.4090890208121705,0.7780509019324019
172,200,153,135,True,True,135,0.04147854485021523,3.0565160673664327,0.8672007433752053
173,200,150,133,True,True,133,0.04584368646992663,3.273995649894174,0.7898813515915931
174,200,139,126,True,True,126,0.05001670929876322,2.4260378220671286,0.8406800099105454
175,200,138,125,True,True,125,0.05047126502055429,1.629042432950455,0.7787166923986392
